# Benchmark Gale-Shapley: Python vs C++
# Repeticiones por n: 3
# Columnas: n  Python_m  CPP_m  Python_w  CPP_w
#      n      Python_m         CPP_m      Python_w         CPP_w
       5    0.02400472    0.00163818    0.02317874    0.00160142
      10    0.02501552    0.00171927    0.02273679    0.00167992
      20    0.02222346    0.00193070    0.02319948    0.00161713
      50    0.02496685    0.00239271    0.02463918    0.00224650
     100    0.02895613    0.00415185    0.02970963    0.00391746
     200    0.05342626    0.01179764    0.04931846    0.01223205
     300    0.09068596    0.02357914    0.09127796    0.02407394
     500    0.23827035    0.06640973    0.23320784    0.05984985
     750    0.49586624    0.13273956    0.51456135    0.13316287
    1000    0.89778766    0.27182280    0.88940316    0.26150913
