n	Lectura	Emparejamiento	Impresion	Total
2	0.000676	0.000016	0.000001	0.000725
4	0.000503	0.000021	0.000002	0.000556
8	0.000561	0.000024	0.000002	0.000654
16	0.000704	0.000135	0.000004	0.000993
32	0.001292	0.000180	0.000005	0.001930
64	0.002491	0.000457	0.000011	0.004919
128	0.010879	0.001192	0.000019	0.021223
256	0.028944	0.006217	0.000052	0.069908
512	0.101181	0.003281	0.000040	0.183358
1024	0.312049	0.009997	0.000183	0.674616
2048	1.427272	0.039862	0.000478	2.985172

Tiempo total experimento:	3.952645
