Instancia   N     Tiempo_s     Tiempo_ms
0           32    0.000255     0.255
1           64    0.000694     0.694
2           128   0.002317     2.317
3           256   0.010178     10.178
4           384   0.024806     24.806
5           512   0.041967     41.967
6           640   0.062640     62.640
7           768   0.089410     89.410
8           896   0.119286     119.286
9           1024  0.215997     215.997
10          1200  0.220035     220.035
11          1400  0.332430     332.430
12          1600  0.405424     405.424
13          1800  0.532750     532.750
14          1900  0.586778     586.778
15          2000  0.646559     646.559
